ResourceAgencyNum,PublicName,AlternateName,OfficialName,TaxonomyLevelName,ParentAgency,ParentAgencyNum,RecordOwner,MailingAttentionName,MailingAddress1,MailingAddress2,MailingCity,MailingStateProvince,MailingPostalCode,MailingCountry,PhysicalAddress1,PhysicalAddress2,PhysicalCity,PhysicalCounty,PhysicalStateProvince,PhysicalPostalCode,PhysicalCountry,OtherAddress1,OtherAddress2,OtherCity,OtherCounty,OtherStateProvince,OtherPostalCode,OtherCountry,Latitude,Longitude,HoursOfOperation,Phone1Number,Phone1Name,Phone2Number,Phone2Name,Phone3Number,Phone3Name,Phone4Number,Phone4Name,Phone5Number,Phone5Description,PhoneFax,PhoneTTY,PhoneTollFree,PhoneNumberHotline,PhoneNumberBusinessLine,PhoneNumberOutOfArea,PhoneNumberAfterHours,EmailAddressMain,WebsiteAddress,AgencyStatus,AgencyClassification,AgencyDescription,SearchHints,CoverageArea,CoverageAreaText,Eligibility,SeniorWorkerName,SeniorWorkerTitle,SeniorWorkerEmailAddress,SeniorWorkerPhoneNumber,MainContactName,MainContactTitle,MainContactEmailAddress,MainContactPhoneNumber,MainContactType,LicenseAccreditation,IRSStatus,FEIN,YearIncorporated,AnnualBudgetTotal,LegalStatus,SourceOfFunds,ExcludeFromWebsite,ExcludeFromDirectory,DisabilitiesAccess,PhysicalLocationDescription,BusServiceAccess,PublicAccessTransportation,FeeStructureSource,ApplicationProcess,ResourceInfo,DocumentsRequired,LanguagesOffered,ServiceNotAlwaysAvailability,CapacityType,ServiceCapacity,TemporaryMessage,TemporaryMessageAppears,TemporaryMessageExpires,EnteredOn,UpdatedOn,MadeInactiveOn,InternalNotes,InternalNotesForEditorsAndViewers
372546,Catholic Charities - Model Cities Day Care Center,"CCS, Catholic Charities",,Program,Catholic Charities ,371910,DCAP,Catholic Charities - Model Cities Day Care Ce,1125 Neal Street Ne,,Washington,DC,20002,United States,"1125 Neal Street, NE",,Washington,District Of Columbia,DC,20002,United States,,,,,DC,,United States,38.9057,-76.9861,"7:00 am - 6:00 pm, Monday - Friday",(202) 396-8100,Intake Number,,,,,,,,,(202) 396-1307,,,,,,,Communications@CatholicCharitiesDC.org,http://www.catholiccharitiesdc.org,Inactive,,"Cares for infants through pre-school aged children.  Expands the use of language and communication skills by promoting the following: a safe and secure environment, harmonious social interaction, fine and gross motor development.  Serves breakfast, lunch,",372546,,,Ages 6 weeks - 4 years,Sharon Hall/Fleing,Director,Communications@CatholicCharitiesDC.org,,,,Communications@CatholicCharitiesDC.org,,,,None or unknown,,,,None or unknown,,Yes,No,NE                     ,,Transportation Available: 5                      ,,"Sliding scale, $653 private to $0 (depends on family size and income), full and government subsidized slots are available.                                                          ",Telephone,,,,,,,,,,6/15/99 0:00,5/25/12 14:30,,"Key Contact Person for Answers, Please!    Phone:  (202)   Fax:  (202)",
372590,Catholic Charities - Mount Carmel House,"Catholic Charities, CCS",,Program,Catholic Charities ,371910,DCAP,Catholic Charities - Mount Carmel House Mount Carmel House,471 G Place NW,,Washington,DC,20001,United States,471 G Place NW,,Washington,District Of Columbia,DC,20001,United States,,,,,DC,,United States,38.908569,-77.017972,Open 24 hours,(202) 289-6315,Intake Number,(202) 772-4300,Main,(800) 535-7252,Emergency Shelter,(202) 289-1710,Fax,,,,,,,,,,Communications@CatholicCharitiesDC.org,http://www.catholiccharitiesdc.org,Active,,"<p>Mt. Carmel Houseis atransitional housing program that provides housing and intensive case management and wrap-around supports to homeless women. An on-site Job Center with computers, printers and internet allows residents, with guidance from staff, to ",372590,District of Columbia,,"All applicants must be female, 25 years of age or older and with no dependents.",Regine Clarmont,Director,Communications@CatholicCharitiesDC.org,,,,Communications@CatholicCharitiesDC.org,,,,None or unknown,,,,None or unknown,,No,No,NW                     ,,Transportation Available: 6                      ,,"Sliding scale, fee for residents with an income                           ","Enrollment in Mt. Carmel House is made through referrals only by a case manager, social worker, psychiatrist, nurse or substance abuse counselor.",,,English only,,,,,,,6/16/99 0:00,5/30/12 9:05,,,
373885,Catholic Charities - New York Avenue Shelter,"Housing Assistance Center, Catholic Charities, CCS",,Program,Catholic Charities ,371910,DCAP,Catholic Charities - New York Avenue Shelter New York Avenue Shelter,1355 New York Avenue NE,,Washington,DC,20002,United States,1355 New York Avenue NE,,Washington,District Of Columbia,DC,20002,United States,,,,,DC,,United States,38.9057,-76.9861,daily intake 7:00 pm and residents must leave by 7:00 am each day.,(202) 732-4300,Main,(800) 535-7252,Toll-Free,(202) 832-2359,Administrative Number,(202) 832-4851,Fax,,,,,,,,,,Communications@CatholicCharitiesDC.org,http://www.catholiccharitiesdc.org,Active,,"Provides overnight emergency shelter for men nightly.  Services include a light meal, showers, and limited social services.  Intake begins at 7:00 pm daily.<br /><br />Home visits: Ivy City               ",373885,District of Columbia,,Homeless men 18 years of age and over with no communicable diseases,,,Communications@CatholicCharitiesDC.org,,,,Communications@CatholicCharitiesDC.org,,,,None or unknown,,,,None or unknown,,No,No,NE                     ,,Transportation Available: 5                      ,,No fee                                                                                                                        ,"Walk-In.  Ask for Social Worker, Night manager, or program director",,,English; Spanish speaking men are directed to La Casa,,,,,,,06/09/1999 00:00,5/25/12 15:02,,,
372544,Catholic Charities - Pregnancy and Adoption Services,"Catholic Charities, CCS",,Program,Catholic Charities ,371910,DCAP,Catholic Charities - Pregnancy And Adoption S Pregnancy & Adoption Services,924 G Street NW,,Washington,DC,20001,United States,924 G Street NW,,Washington,District Of Columbia,DC,20001,United States,,,,,DC,,United States,38.908569,-77.017972,"9:00 am - 5:00 pm, Monday - Friday",(202) 772-4300,Intake Number,,,,,,,,,(202) 772-4408,,,,,,,Communications@CatholicCharitiesDC.org,http://www.CatholicCharitiesDC.org,Active,,"Meets the needs of birth parents, adoptive parents and children.  Counsels birth parents who find themselves facing an unplanned pregnancy and need to explore their options.  Provides placements for and services to the infants.  Prospective adoptive paren",372544,DC Metro Area,,"Reside within Archdiocese of Washington: DC, PG, Montgomery, Charles, Calvert, and St. Mary's counties",Diane Banks,Program Administrator,Communications@CatholicCharitiesDC.org,,,,Communications@CatholicCharitiesDC.org,,,,None or unknown,,,,None or unknown,,No,No,NW                     ,,,,No fee for birth parents; $1300 for adoptive parents                                                                          ,"Telephone, By Appointment; Intake meetings",,,English,,,,,,,6/15/99 0:00,12/02/2011 12:38,,,
373926,Catholic Charities - Sacred Heart Church,"Catholic Charities, CCS",,Program,Catholic Charities ,371910,DCAP,Catholic Charities - Sacred Heart Church Sacred Heart Church,16Th Street And Park Road Nw,,Washington,DC,20010,United States,3211 Sacred Heart Way,,Washington,District Of Columbia,DC,20010,United States,,,,,DC,,United States,38.932816,-77.029699,6:00 pm - 7:00 am (Hypothermia only),(202) 234-8000,Main Number,,,,,,,,,,,,(800) 535-0376,,,,Communications@CatholicCharitiesDC.org,http://www.catholiccharitiesdc.org,Active,,Provides overflow hypothermia shelter for men from the months of November to March (25 beds). Home visits: Columbia Heights,373926,District of Columbia,,Homeless men 18 years of age and over with no communicable diseases,,,Communications@CatholicCharitiesDC.org,,,,Communications@CatholicCharitiesDC.org,,,,None or unknown,,,,None or unknown,,No,No,NW                     ,,Transportation Available: 1                      ,,No fee                                                                                                                        ,,,,,,,,,,,11/02/2006 00:00,5/30/12 9:10,,,
373927,Catholic Charities - Saint Luke's Church,"Saint Lukes Church, St. Lukes Church, St. Luke's Church, St Lukes Church, CCS",,Program,Catholic Charities ,371910,DCAP,Catholic Charities - Saint Lukes Church,3655 Calvert Street Nw,,Washington,DC,20007,United States,"3655 Calvert Street, NW",,Washington,District Of Columbia,DC,20007,United States,,,,,DC,,United States,38.9147,-77.0771,7:00 pm - 7:00 am,(202) 333-4949,Main Number,,,,,,,,,,,,,,,,Communications@CatholicCharitiesDC.org,http://www.catholiccharitiesdc.org,Inactive,,Provides overflow hypothermia shelter for men (15 beds).,373927,District of Columbia,,Homeless men 18 years of age and over with no communicable diseases,,,Communications@CatholicCharitiesDC.org,,,,Communications@CatholicCharitiesDC.org,,,,None or unknown,,,,None or unknown,,Yes,No,NW                     ,,,,No fee                                                                                                                        ,"Walk-In, Telephone",,,,,,,,,,11/02/2006 00:00,5/25/12 14:39,,"Key Contact for Answers, Please!    Telephone: (202)   Fax:  (202)",
372548,Catholic Charities - SHARE DC-Metro,"Self Help & Resource Exchange, Catholic Charities, CCS",,Program,Catholic Charities ,371910,DCAP,Catholic Charities - Share Dc-Metro Share Dc-Metro Area,5170 Lawrence Place,,Hyattsille,MD,20781,United States,5170 Lawrence Place,,Hyattsille,Prince Georges,MD,20781,United States,,,,,DC,,United States,38.94084,-76.92828,,(301) 864-3115,Intake Number,(800) 217-4273,Toll-Free,(301) 864-5370,Fax,,,,,,,,,,,,Communications@CatholicCharitiesDC.org,http://www.sharedc.org,Active,,Operates as a co-operative food club for paying members.  Offers quality foods and substantial savings to participants by purchasing food at wholesale prices and passing the savings on to members.  Offers nutritious food packages (a $35.00 - $40.00 value),372548,DC Metro Area,,"Open to everyone, willing to give at least two hours each month of volunteer/community service for each package purchased",Scott C. Lewis,Program Manager,lewiss@catholiccharitiesdc.org,,Scott C. Lewis,Program Manager,lewiss@catholiccharitiesdc.org,,,,None or unknown,,,,None or unknown,,No,No,,,,,"Flat Fee plus 2 hours of volunteer service (accepts cash, money order, EBT, food stamps)","Telephone, Internet (call or search online to find SHARE host site)",,,"English, Spanish",,,,,,,6/15/99 0:00,5/25/12 15:07,,,
372538,Catholic Charities - Substance Abuse Network,"Catholic Charities, CCS",,Program,Catholic Charities ,371910,DCAP,Catholic Charities - Substance Abuse Network Substance Abuse Network,1001 Lawrence Place Ne,,Washington,DC,20018,United States,1001 Lawrence Place Ne,,Washington,District Of Columbia,DC,20018,United States,,,,,DC,,United States,38.927564,-76.975626,24-hours,(202) 481-1435,Hotline Intake Number,(202) 772-4360,Program Number,,,,,,,(202) 772-4409,,,,,,,,http://www.CatholicCharitiesDCorg,Inactive,,"Provides intervention for people who are ready to seek help for addictions.  A certified addictions specialist responds to the hotline and offers crisis response to access detoxification, arranges for treatment and assists individuals and families.  Also ",372538,District of Columbia,,None,Darrl Colbert,Porogram Administrator,Communications@CatholicCharitiesDC.org,,,,,,,,None or unknown,,,,None or unknown,,Yes,No,Downtown               ,,Transportation Available: 5                      ,,No fee                                                                                                                        ,"Telephone, ask for Program Director",,,English,,,,,,,6/15/99 0:00,5/25/12 14:29,,"Key Contact Person for Answers, Please!  Darryl Colbert, Program Director  Telephone:  (202) 5264100  Fax:  (202) -526 - 18219",
372564,Catholic Charities - Teen Mothers and Babies ILP,"TM, Catholic Charities, CCS",,Program,Catholic Charities ,371910,DCAP,Catholic Charities - Teen Mothers And Babies Teen Mothers And Babies Ilp,1438 Rhode Island Avenue Ne,,Washington,DC,20018,United States,"1438 Rhode Island Avenue, NE",,Washington,District Of Columbia,DC,20018,United States,,,,,DC,,United States,38.927564,-76.975626,"9:00 am - 5:00 pm, Monday - Friday",(202) 526-4100,Intake Number,,,,,,,,,(202) 574-3474,,,,,,,Communications@CatholicCharitiesDC.org,http://www.catholiccharitiesdc.org,Inactive,,"Assists participants in identifying permanent housing and provides them with a monthly stipend for living expenses.  Participants also receive case management services in preparation for emancipation, educational/vocational planning to increase employabil",372564,District of Columbia,,Participants must be teen mothers who are between the ages 17 and 20 and are residents of DC.,"Nicole Gilbert, LICSW, LCSWC",Center Administrator,Communications@CatholicCharitiesDC.org,,,,Communications@CatholicCharitiesDC.org,,,,None or unknown,,,,None or unknown,,Yes,No,SE                     ,,Transportation Available: 8                      ,,No fee                                                                                                                        ,Referral Required from Child and Family Services,,,English,,,,,,,6/16/99 0:00,12/06/2011 23:16,,"Key Contact Person for Answers, Please!  Angela Maloney, LICSW, LCSWC, Supervisior Social Worker  Telephone:  (202) 574-3442 ext 102  Fax:  (202) 574-3474",
372560,Catholic Charities - Teen Parent Program,"ILP, Independent Living Program, Teen Mothers Program, Catholic Charities, CCS",,Program,Catholic Charities ,371910,DCAP,Catholic Charities - Independent Living  Tee,"924 G Street, NW",,Washington,DC,20001,United States,"924 G Street, NW",,Washington,District Of Columbia,DC,20001,United States,,,,,DC,,United States,38.908569,-77.017972,"9:00 am - 5:00 pm, Monday - Friday",(202) 772-4300,Main,,,,,,,,,(202) 772-4408,,,,,,,Communications@CatholicCharitiesDC.org,http://www.catholiccharitiesdc.org,Active,,"All youth in the program receive assistance securing their own apartments. Youth and their children receive one-on-one case management, daily living skills such as budgeting, healthy eating and proper workplace conduct. Parent training sessions also avail",372560,District of Columbia,,"Must be wards of DC, Ages 17 - 19 inclusive",,,Communications@CatholicCharitiesDC.org,,,,Communications@CatholicCharitiesDC.org,,,,None or unknown,,,,None or unknown,,No,No,NE                     ,,Transportation Available: 5                      ,,No fee                                                                                                                        ,Enrollment in the program comes through referral from the DC Child and Family Services Agency. ,,,English,,,,,,,6/16/99 0:00,5/25/12 15:04,,,
372575,Catholic Charities - Tenants Empowerment Network,"TEN, Catholic Charities, CCS",,Program,Catholic Charities ,371910,DCAP,Catholic Charities - Tenants Empowerment Netw Tenants Empowerment Network,4275 4th Street SE,,Washington,DC,20032,United States,4275 4th Street SE,,Washington,District Of Columbia,DC,20032,United States,,,,,DC,,United States,38.835705,-77.000212,,(202) 373-0112,Intake Number,(202) 772-4300,Main,,,,,,,(202) 526-1829,,,,,,,Communications@CatholicCharitiesDC.org,http://www.catholiccharitiesdc.org,Active,,"Operates a two-year transitional housing program with support services for homeless families. Empowers homeless families to attain lasting stability in housing, work, and the community. Home visits: Washington Highlands",372575,District of Columbia,,,,,Communications@CatholicCharitiesDC.org,,,,Communications@CatholicCharitiesDC.org,,,,None or unknown,,,,None or unknown,,No,No,SE                     ,,Transportation Available: 8                      ,,No fee                                                                                                                        ,Call for information. ,,,"English, translation services may be arranged via Catholic Charities",,,,,,,6/16/99 0:00,5/30/12 9:04,,,
372549,Catholic Charities- Archdiocesan Health Care Network,"Catholic Charities, CCS, AHCN",,Program,Catholic Charities ,371910,DCAP,Catholic Charities- Archdiocesan Health Care,924 G Street NW,,Washington,DC,20001,United States,924 G Street NW,,Washington,District Of Columbia,DC,20001,United States,,,,,DC,,United States,38.908569,-77.017972,,(202) 481-1424,Intake Number,(202) 772-4300,Main,,,,,,,(202) 481-1421,,,,,,,healthcare.network@catholiccharitiesdc.org,http://www.catholiccharitiesdc.org,Active,,"Provides coordination of specialized, pro-bono medical or dental services for uninsured, low-income patients needing specialized care.  Referrals are made through non-profit primary care clinics or homeless shelters.  Services include evaluation and treat",372549,"District of Columbia, Montgomery and Prince George's Counties in Maryland",,"Low income, uninsured",,,healthcare.network@catholiccharitiesdc.org,,,,healthcare.network@catholiccharitiesdc.org,,,,None or unknown,,,,None or unknown,,No,No,NE                     ,,Transportation Available: 5                      ,,No fee                                                                                                                        ,Referrals required to be faxed by primary care clinic,,,"English, Spanish",,,,,,,6/15/99 0:00,05/07/2012 11:04,,,
372570,Catholic Charities-Saint Matthias Mulumba House,"Saint Matthias Mulumba House, Catholic Charities, CCS",,Program,Catholic Charities ,371910,DCAP,Catholic Charities-Saint Matthias Mulumba Hou St Matthias Mulumba House,621 Rhode Island Avenue NW,,Washington,DC,20001,United States,621 Rhode Island Avenue NW,,Washington,District Of Columbia,DC,20001,United States,,,,,DC,,United States,38.908569,-77.017972,,(202) 234-2399,Intake Number,(202) 772-4300,Main,,,,,,,(202) 234-3493,,,,,,,Communications@CatholicCharitiesDC.org,http://www.catholiccharitiesdc.org,Active,,Is a transitional housing program for homeless men recovering from chemical dependencies and/or mental illness and other disabilities.  Emphasizes employment and vocational training which lead to self-sufficiency and independent living.  Offers case manag,372570,District of Columbia,,"Male, 18 years of age or older, and must currently be in recovery for alcohol or drug addiction.",Hagos Weldegiogis,Program Administrator,Communications@CatholicCharitiesDC.org,,,,Communications@CatholicCharitiesDC.org,,,,None or unknown,,,,None or unknown,,No,No,NW                     ,,Transportation Available: 2                      ,,No fee                                                                                                                        ,"Enrollment in Mulumba House is made through referrals only by a case manager, social worker, psychiatrist, nurse or substance abuse counselor.",,,English,,,,,,,6/16/99 0:00,5/25/12 15:06,,,
372110,Catholics for a Free Choice,CFFC,,Agency,Catholics for a Free Choice,0,DCAP,Catholics For A Free Choice,1436 U St Nw,,Washington,DC,20009,United States,"1436 U Street, NW",suite 301,Washington,District Of Columbia,DC,20009,United States,,,,,DC,,United States,38.9174,-77.0357,9:00 am - 5:00 pm                                                                                                                           ,(202) 986-6093,General Information                     ,,,,,,,,,(202) 332-7995,,,,,,,cfc@catholicsforchoice.org,http://cath4choice.org,Active,,Catholics for Choice helps people and organizations confidently challenge the power of the Catholic hierarchy which uses every means at its disposal to punish and publicly shame Catholics who don't unquestioningly follow its edicts. The hierarchy also see,372110,,,,Frances Kissling                   ,President                          ,,,,,,,,,None or unknown,,,,None or unknown,,No,No,,,,,,,,,,,,,,,,8/13/99 0:00,4/24/12 10:21,,"Provides policy, analysis, education, and advocacy on issues of gender equality and reproductive health. ",
373144,Catholics for a Free Choice - Reproductive Rights and Catholicism,CFFC,,Program,Catholics for a Free Choice,372110,DCAP,Catholics For A Free Choice Reproductive Rhts Brenda Kaechele,1436 U St Nw,,Washington,DC,20009,United States,"1436 U Street, NW",Suite 301,Washington,District Of Columbia,DC,20009,United States,,,,,DC,,United States,38.9174,-77.0357,"9:00 am - 5:00 pm, Monday - Friday",(202) 986-6093,General Information,,,,,,,,,(202) 332-7995,,,,,,,cfc@catholicsforchoice.org,http://cath4choice.org,Active,,"Provides policy analysis, education, and advocacy on issues of gender equality and reproductive health.<br /><br />Home visits: Cardozo/Shaw           ",373144,District of Columbia,,none,Joan Obrien,President,,,,,,,,,None or unknown,,,,None or unknown,,No,No,NW                     ,,Transportation Available: 1                      ,,No fee                                                                                                                        ,N/A,,,English; Spanish,,,,,,,8/13/99 0:00,12/02/2011 12:43,,"Key Contact person for Answers, Please!  Brenda Kaechele, Director of Finance & Adminstration  Phone: (202) 986-6093  Fax: (202) 332-7995",
372040,Cease Fire...Don't Smoke the Brothers,,,Agency,Cease Fire...Don't Smoke the Brothers,0,DCAP,Cease Fire...Don't Smoke The Brothers,4708 14Th St Nw,,Washington,DC,20011,United States,"4708 14Th Street, NW",,Washington,District Of Columbia,DC,20011,United States,,,,,,,United States,38.952387,-77.017836,"9:00 am - 9:00 pm, Monday - Friday;  24-hours, Crisis intervention team                                                                     ",(202) 541-9807,General Information                     ,(202) 547-9808,,(202) 882-9882,Director's Number                       ,,,,,,,,,,,,,,Inactive,,,372040,,,,Al Malik Farrakhan                 ,Founder/Executive Director         ,,,,,,,,,None or unknown,,,,None or unknown,,No,No,,,,,,,,,,,,,,,,6/24/99 0:00,8/17/11 16:27,,"Strives to create and maintain a peaceful and safe co-existence of at-risk-youth, their families and communities.",
372828,Cease Fire...Don't Smoke the Brothers,,,Program,Cease Fire...Don't Smoke the Brothers,372040,DCAP,Cease Fire...Don't Smoke The Brothers,4708 14Th St Nw,,Washington,DC,20011,United States,"4708 14Th Street, NW",,Washington,District Of Columbia,DC,20011,United States,,,,,,,United States,38.952387,-77.017836,"9:00 am - 9:00 pm, Monday - Friday; Crisis Intervention Team is operational 24 hours a day.",,Main Number,,Alternative Number,(202) 882-9882,Administrative Number,,,,,,,,,,,,,,Inactive,,"Provides crisis intervention, violence prevention and intervention, and guidance and facilitation in truce/agreements.  Offers training programs in entrepreneurship, silk-screening, boxing, and job preparation.  Provides counseling services to individuals",372828,District of Columbia,,None,Al Malik Farrakhan,Executive Director,,,,,,,,,None or unknown,,,,None or unknown,,No,No,NW                     ,,Transportation Available: 4                      ,,No fee                                                                                                                        ,"By Appointment, Walk-In",,,English,,,,,,,6/24/99 0:00,8/17/11 16:27,,"Key Contact Person for Answers, Please! Al Malik Farrakhan,  Founder/Executive Director  Phone:  (202) 882-9882",
373865,CEET - Job Training Program,Center for Empowerment and Employment Training,,Program,Center for Empowerment and Employment Training,372255,DCAP,Center For Empowerment And Employment Trainin,PO Box 90803,,Washington,DC,20090,United States,"600 W Street, NE",,Washington,-1,DC,20002,United States,,,,,-1,,United States,38.9057,-76.9861,"10:00 am - 4:00 pm, Monday - Friday (Job Placement Services); 6:00 pm - 9:00 pm, Monday - Thursday (Classes)--Fall and Spring Semesters",(202) 832-4070,Main Number,,,,,,,,,(202) 832-4075,,,,,,,aobarakpor@yahoo.com; joynerceet@yahoo.com,www.CEET.org,Active,,"Provides the following training opportunities: ESL classes, GED preparation classes, computer application training in Word, Excel, Powerpoint, Access, Basic Computer Training, A+ Certification, customer services and sales, entrepreneurial training, bookke",373865,DC Metropolitan Area,,Ages 16 and over,Margie Joyner/Anita Obarakpor,President/Vice President,,,Anita Obarakpor/Margie Joyner,Vice Pres/Pres,,,,,501(c)(3),,,,None or unknown,,No,No,NE                     ,,Transportation Available: 5                      ,,"Sliding Scale ($25-50/semester for incomes less than $25,000/year; $100-250/semester for incomes $25,000/year and over)","Telephone, Walk-In, By Appointment",,,English,,,,"GED Prep, Computer Training, Job Readiness Training .  Spring Program in session--semester ends May 9, 2011--job readiness classes and   job seach   assistance is ongoing throughout the year.  Call for details.  ",02/09/2006 00:00,02/10/2006 00:00,,,,"AP Key Contact: Anita M Obarakpor, Vice President  Telephone: (202) 832-4070, Fax: (202) 269-9647, Email: aobarakpor@yahoo.com",
372115,Center City Community Corporation,CCCC - 4C's,,Agency,Center City Community Corporation,0,DCAP,Center City Community Corporation,128 M St Nw,Ste 310,Washington,DC,20001,United States,"128 M Street, NW",Suite 310,Washington,District Of Columbia,DC,20001,United States,,,,,DC,,United States,38.908569,-77.017972,"9:00 am - 5:00 pm, Monday - Friday                                                                                                          ",(202) 789-0866,Housing/Employment/Emergency Services   ,(202) 789-0867,,(202) 789-0446,Administrative Number                   ,,,,,(202) 408-5311,,,,,,,ljnesbitt@centercitycc.org,www.centercitycc.org,Active,,"Researches, designs, and administers community development programs to improve the quality of urban life.",372115,,,,Edward Nesbitt                     ,Executive Director                 ,,,,,,,,,None or unknown,,,,None or unknown,,No,No,,,,,,,,,,,,,,,,8/18/99 0:00,8/16/11 12:07,,,
373158,Center City Community Corporation - Crisis Intervention,4 Cs - CCCC,,Program,Center City Community Corporation,372115,DCAP,Center City Community Corporation,Crisis Intervention,128 M St Nw Ste 310,Washington,DC,20001,United States,"128 M Street, NW",Suite 310,Washington,District Of Columbia,DC,20001,United States,,,,,DC,,United States,38.908569,-77.017972,"9:00 am - 5:00 pm, Monday - Friday",(202) 789-0446,Intake Number,,,,,,,,,(202) 408-5311,,,,,,,,www.centercitycc.org,Active,,Addresses customer's immediate needs by providing assistance with food and clothing.  Provides referrals for furnishings through Central Union Mission's emergency furniture program for those whose furniture was damaged or destroyed by fire or other emerge,373158,"Ward 2 North of the 1100 block of M Street, NW (for FEMA funds)",,Live within target area,,,,,Gloria Terrell,,,,,,None or unknown,,,,None or unknown,,No,No,NW                     ,,Transportation Available: 6                      ,,No Fee                                                                                                                        ,"Telephone, Walk-In, By Appointment",,,English,,,,,,,8/18/99 0:00,8/16/11 12:10,,,
373159,Center City Community Corporation - Educational Services,4 Cs - CCCC,,Program,Center City Community Corporation,372115,DCAP,Center City Community Corporation,Educational Services,128 M St Nw Ste 310,Washington,DC,20001,United States,"128 M Street, NW",Suite 310,Washington,District Of Columbia,DC,20001,United States,,,,,DC,,United States,38.908569,-77.017972,"9:00 am - 5:00 pm, Monday - Friday",(202) 789-0866,Intake Number,,,(202) 789-0446,Administrative Number,,,,,(202) 408-5311,,,,,,,,www.centercitycc.org,Active,,"Offers a children's tutorial program.  Assists students in finding funds for higher education.  Sponsors health fares, workshops in health education and offers tax preparation assistance.<br /><br />Home visits: North Capitol Street   ",373159,Parts of Ward 2 & 5,,"Live within target area, Ages 6-11 for tutorial class",,,,,Anita Shelton,,,,,,None or unknown,,,,None or unknown,,No,No,NW                     ,,Transportation Available: 6                      ,,No Fee                                                                                                                        ,"Telephone, Walk-In, Appointment",,,English,,,,,,,8/18/99 0:00,8/16/11 12:12,,,
373157,Center City Community Corporation - Employment Counseling,4 Cs - CCCC,,Program,Center City Community Corporation,372115,DCAP,Center City Community Corporation Employment Counseling,"128 M St, NW",Ste 310,Washington,DC,20001,United States,"128 M Street, NW",Suite 310,Washington,District Of Columbia,DC,20001,United States,,,,,DC,,United States,38.908569,-77.017972,"9:00 am - 5:00 pm, Monday - Friday",(202) 789-0867,Intake Number,,,(202) 789-0446,Administrative Number,,,,,(202) 408-5311,,,,,,,ljnesbitt@centercitycc.org,www.centercitycc.org,Active,,"Refers the unemployed and the under-employed to skills training programs, counsels young people about the world of work and conduct sessions on resume preparation and job search techniques.  Retains a job bank to assist customers who are job ready to ente",373157,Parts of Ward 2 & 5,,"Live within target area, legal age for employment",Edward Nesbitt,Executive Director,,,,,,,,,None or unknown,,,,None or unknown,,No,No,NW                     ,,Transportation Available: 6                      ,,Free,"Telephone, Walk-In, By Appointment",,,English,,,,,,,8/18/99 0:00,8/16/11 12:09,,,
373161,Center City Community Corporation - Housing Assistance,4 Cs - CCCC,,Program,Center City Community Corporation,372115,DCAP,Center City Community Corporation Housing Assistance,"128 M St, NW",Ste 310,Washington,DC,20001,United States,"128 M Street, NW",Suite 310,Washington,District Of Columbia,DC,20001,United States,,,,,DC,,United States,38.908569,-77.017972,"9:00 am - 5:00 pm, Monday - Friday",(202) 789-0868,Main Number,,,(202) 789-0446,Administrative Number,,,,,(202) 408-5311,,,,,,,,www.centercitycc.org,Active,,Provides assistance against evictions and foreclosures.  Assists in finding suitable housing by utilizing special housing programs.  Also provides emergency aid and counsels customers on wise use of resources.<br /><br />Home visits: North Capitol Street ,373161,Parts of Ward 2 & 5,,Live within target area,,,,,Mary Adams,,,,,,None or unknown,,,,None or unknown,,No,No,NW                     ,,Transportation Available: 6                      ,,No Fee                                                                                                                        ,"Telephone, Walk-In, By Appointment",,,English,,,,,,,8/18/99 0:00,12/02/2011 12:45,,,
373160,Center City Community Corporation - Youth Activities,4 Cs - CCCC,,Program,Center City Community Corporation,372115,DCAP,Center City Community Corporation Youth Activities,"128 M St, NW",Ste 310,Washington,DC,20001,United States,"128 M Street, NW",Suite 310,Washington,District Of Columbia,DC,20001,United States,,,,,DC,,United States,38.908569,-77.017972,"9:00 am - 5:00 pm, Monday - Friday",(202) 789-0866,Intake Number,(202) 789-0867,Alternative Number,(202) 789-0446,Administrative Number,,,,,(202) 408-5311,,,,,,,,www.centercitycc.org,Active,,"Offers after school activities for children.  Activities consist of study hall and leisure time activities (arts & crafts, recreational games, etc.).<br /><br />Home visits: North Capitol Street   ",373160,Parts of Ward 2 & 5,,"Ages 6 - 13, DC residents, live within target area",,,,,Anita Shelton,,,,,,None or unknown,,,,None or unknown,,No,No,NW                     ,,Transportation Available: 6                      ,,Free,"Telephone, Walk-In, By Appointment",,,English,,,,,,,8/18/99 0:00,12/02/2011 13:24,,,
