LP,Bezeichnung,Kapitel/Titel,
E23215,"Energiesparende Industrieverfahren - Chemische Industrie, Herstellung von Kunststoff-und Gummiwaren",,
E23220,"Energiesparende Industrieverfahren - Gewinnung und Verarbeitung von Steinen und Erden, Feinkeramik, Glasgewerbe",,
E23230,Energiesparende Industrieverfahren - Eisen- und Stahlindustrie,,
E23240,Energiesparende Industrieverfahren - NE-Metallindustrie,,
E23250,"Energiesparende Industrieverfahren - Maschinenbau, Fahrzeugbau, Elektrotechnik, Feinmechanik, Optik, EBM-Waren",,
E23260,"Energiesparende Industrieverfahren - Holz-, Papier- und Druckgewerbe",,
E23270,"Energiesparende Industrieverfahren - Leder-, Textil- und Bekleidungsgewerbe",,
E23280,Energiesparende Industrieverfahren - Nahrungs- und Genußmittelindustrie,,
E23285,Energiesparende Industrieverfahren - Übergreifend und Sonstiges,,
E23299,Sonstige Querschnittsaufgaben im Rahmen der rationellen Energieverwendung,,
E241,Rationelle Energieverwendung und Solarenergienutzung in Haushalt und Kleinverbrauch,090268321,
,,090268697,
,,090289221,
,,160268321,
,,160268697,
,,160289221,
E24111,Passive Sonnenenergienutzung - Studien und Grundlagenuntersuchungen,,
E24112,Passive Sonnenenergienutzung - Entwicklung von Komponenten,,
E24113,"Passive Sonnenenergienutzung - Fenster, Isolierverglasung",,
E24114,Passive Sonnenenergienutzung - transluzente Wärmedämmung,,
E24115,Passive Sonnenenergienutzung - Tageslichtnutzung,,
E24116,Passive Sonnenenergienutzung - Raumluftströmungen,,
E24117,"Passive Sonnenenergienutzung - Gebäude als bau- und energietechnische Einheit, Wohngebäude",,
E24118,"Passive Sonnenenergienutzung - Gebäude als bau- und energietechnische Einheit, gewerblich genutzte Gebäude",,
E24121,"Aktive Sonnenenergienutzung - Solarkollektoren, Absorber, Wärmerohre, Prüf- und Testverfahren",,
E24122,Aktive Sonnenenergienutzung - selektive Beschichtung,,
E24123,Aktive Sonnenenergienutzung - solare Warmwasserbereitung für Sportstätten und Schwimmbäder,,
E24124,Aktive Sonnenenergienutzung - solare Warmwasserbereitung für Haushalte,,
,,,
E24125,Aktive Sonnenenergienutzung - solare Warmwasserbereitung für Kleinverbrauch,,
E24131,Wärmepumpen - elektrische,,
E24132,Wärmepumpen - verbrennungsmotorische,,
E24133,Wärmepumpen - Absorption,,
E24151,"Rationelle Energieverwendung in Haushalt und Kleinverbrauch - konventionelle Wärmedämmung, Prüf- und Testverfahren",,
E24152,"Rationelle Energieverwendung in Haushalt und Kleinverbrauch - kontrollierte Lüftung, Wärmerückgewinnung",,
E24153,Rationelle Energieverwendung in Haushalt und Kleinverbrauch - energiesparende Haushaltsgeräte,,
E24154,Rationelle Energieverwendung in Haushalt und Kleinverbrauch - Verbesserung konventioneller Heizungssysteme,,
E24155,"Rationelle Energieverwendung in Haushalt und Kleinverbrauch - Beratungs-, Informationsund Prognose-Systeme",,
E24159,"Rationelle Energieverwendung in Haushalt und Kleinverbrauch - übergreifende Maßnahmen, Statusseminare",,
E24181,Vorbereitende Projektförderung zur Fördermaßnahme SOLARTHERMIE-2000,,
E24182,Begleitende Projektförderung zur Fördermaßnahme SOLARTHERMIE-2000,,
E242,Solarenergie - indirekt-spezifische Förderung,160268321,
,,160268697,
,,160289221,
E24200,Fördermaßnahme SOLARTHERMIE-2000 - indirekt-spezifische Förderung,,
E243,Solaroptimiertes Bauen,090268321,
,,090268697,
,,090289221,
E24300,Solaroptimiertes Bauen,,
E244,Energieoptimierte Verbesserung der Bausubstanz,090268321,
,,090268697,
,,090289221,
E24400,Energieoptimierte Verbesserung der Bausubstanz,,
E250,"Leitprojekt ""Energieerzeugung und -speicherung für den dezentralen und mobilen Einsatz""",090268321,
,,090289221,
E25010,"Leitprojekt ""Energieerzeugung und -speicherung für den dezentralen und mobilen Einsatz"" - Koordinierungsphase",,
E25020,"Leitprojekt ""Energieerzeugung und -speicherung für den dezentralen und mobilen Einsatz"" - Durchführungsphase",,
E25030,"Leitprojekt ""Energieerzeugung und -speicherung für den dezentralen und mobilen Einsatz"" - Sonstiges",,
E260,Grundlagenforschung Energie,300468541,
E26010,Grundlagenforschung Energie,,
E26090,Projektstabskosten,,
E26091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
E3,Nukleare Energieforschung (ohne Beseitigung kerntechnischer Anlagen),,
E31100,Brutreaktoren (SBR) - Kompakte natriumgekühlte Kernreaktoranlage (KNK II),,
E31210,Brutreaktoren (SBR) - SNR 300 - Errichtung (einschl. Plutonium),,
E31220,Brutreaktoren (SBR) - SNR 300 - Projektbegleiter,,
E31230,"Brutreaktoren (SBR) - SNR 300 - bauzugehörige, inbetriebnahme- und betriebsbegleitende Forschung und Entwicklung",,
E31310,Brutreaktoren (SBR) - Weiterentwicklung - sicherheitsbezogene Arbeiten,,
E31320,Brutreaktoren (SBR) - Weiterentwicklung - Beteiligung am Super Phoenix,,
E31330,Brutreaktoren (SBR) - Weiterentwicklung - FuE im Rahmen der europäischen Zusammenarbeit,,
E31350,Brutreaktoren (SBR) - Weiterentwicklung - Studien und Gutachten,,
E31400,Brutreaktoren (SBR) - Brennstoffkreislauf,,
E32100,THTR 300 (einschl. Projektbegleitung),,
E322,Hochtemperaturreaktoren (HTR) - Weiterentwicklung,090268622,
E32211,"HTR-Kraft-Wärme-Kopplung - Studien, Gutachten",,
E32212,"HTR-Kraft-Wärme-Kopplung - Technologie, Sicherheit",,
E32220,HTR-Brennstoffkreislauf,,
E32231,"HTR-Prozeßwärme - Studien, Gutachten",,
E32232,HTR-Prozeßwärme - Nukleares Wärmeerzeugungs-System (NWS),,
E32233,"HTR-Prozeßwärme - Komponenten, Verfahren",,
E32234,HTR-Prozeßwärme - Planung,,
,,,
E32290,Projektstabskosten,,
E32291,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
E32299,Sonstiges im Rahmen der HTR-Weiterentwicklung,,
E33010,Kernkraftwerk Niederaichbach (abgeschlossen),,
E33020,Heißdampfreaktoren (abgeschlossen),,
E33030,Leichtwasserreaktoren (abgeschlossen),,
E33040,Forschungsreaktoren (insbesondere MPR 30 - Indonesien),,
E33050,Studien und Gutachten im Rahmen der übrigen Reaktorentwicklung,,
E33091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
E341,Kernbrennstoffversorgung (ohne Urananreicherung),090268622,
E34110,Uransuche und -gewinnung,,
E34120,Lagerung von Kernbrennstoffen,,
E34130,Uranhexafluorid-Konversionsverfahren,,
E34140,Brennelemententwicklung,,
E34150,Anreicherungsreduzierung bei Forschungs- und Materialtestreaktoren,,
E34190,Projektstabskosten,,
E34191,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
E342,Urananreicherung,090268622,
E34210,Gasultrazentrifugenverfahren,,
E34211,2000 jato-Programm der URENCO,,
E34220,Laserverfahren im Rahmen der Urananreicherung,,
E34230,Sonstige neue Urananreicherungsverfahren,,
E351,Wiederaufarbeitung und Rückführung von Kernbrennstoffen; Spaltmaterialüberwachung,090268622,
E35110,Radioökologie,,
E35120,Wiederaufarbeitung (einschl. Eurochemic),,
E35130,Rückführung von Brennstoffen aus der Wiederaufarbeitung,,
E35140,Transport radioaktiver Stoffe,,
E35150,Spaltmaterialüberwachung,,
E352,Behandlung und Konditionierung radioaktiver Abfälle; Spaltprodukt- und Aktiniden-Umwandlung,090268622,
E35200,Behandlung und Konditionierung radioaktiver Abfälle; Spaltprodukt- und Aktiniden-Umwandlung,,
E360,Grundlagenforschung Energie/Nukleare Sicherheitsforschung,300468541,
E36000,Grundlagenforschung Energie/Nukleare Sicherheitsforschung,,
E361,Endlagerung radioaktiver Abfälle,090268622,
E36111,Endlagerung - Grundlagenarbeiten Salz,,
E36112,"Endlagerung - Grundlagenarbeiten für andere geologische Formationen als Salz, z.B. für Meeresböden",,
E36113,Endlagerung - Grundlagenarbeiten Sicherheitsanalyse und -bewertung,,
E36120,Endlagerung - andere Entsorgungstechniken,,
E36130,Endlagerung - Projekt Konrad,,
E36140,Endlagerung - Projekt Gorleben,,
E36150,Zwischen- und Endlagerung abgebrannter Brennelemente aus Forschungsreaktoren,,
E362,Forschungsvorhaben zum Rückbau kerntechnischer Anlagen,090268622,
E36200,Forschungsvorhaben zum Rückbau kerntechnischer Anlagen,,
E363,Finanzbeitrag zum auslaufenden HFR-Petten-Ergänzungsprogramm der EU,090268622,
E36300,Finanzbeitrag zum auslaufenden HFR-Petten-Ergänzungsprogramm der EU,,
E369,Übrige und Querschnittsaktivitäten Entsorgung,090268622,
,,160453202,
E36910,Analysen und Konzepte für die Entsorgung,,
E36990,Projektstabskosten,,
E36991,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
E36999,Sonstiges im Rahmen der Entsorgung,,
E381,Reaktorsicherheitsforschung - Leichtwasserreaktoren,090268622,
E38110,"Kühlmittelverlust, Notkühlung, Containment, anlageninterne Notfallschutzmaßnahmen",,
E38120,Behälterversagen (Reaktorsicherheit),,
E38130,Äußere Einwirkungen (Reaktorsicherheit),,
E38140,Komponentensicherheit (Reaktorsicherheit),,
E382,Reaktorsicherheitsforschung - fortgeschrittene Reaktoren,090268622,
E38210,Reaktorsicherheit - Brutreaktoren (SBR),,
E38220,Reaktorsicherheit - Hochtemperaturreaktoren (HTR),,
E38230,Reaktorsicherheit - inhärent sichere Reaktorsysteme,,
,,,
E383,Reaktorsicherheitsforschung - übrige und Querschnittsaktivitäten (ohne Projektstabskosten),090268622,
,,090268721,
E38310,"Kernschmelzen, Spaltprodukttransport und Strahlenbelastung, Wasserstoffentstehung und -verhalten",,
E38320,"Qualitätssicherung (Reaktorsicherheit), zerstörungsfreie Prüfverfahren",,
E38330,Zusammenwirken von Mensch und Maschine (Reaktorsicherheit),,
E38340,Risiko und Zuverlässigkeit (Reaktorsicherheit),,
E38350,Reaktorsicherheits-Untersuchungen am HDR,,
E38360,"Analytische Tätigkeiten, internationale Zusammenarbeit, sonstige Aktivitäten im Rahmen der Reaktorsicherheitsforschung",,
E38380,Internationale Atomenergie-Organisation (IAEO),090268721,
E38399,Sonstiges,,
E384,"Reaktorsicherheitsforschung - Projektstabskosten, Projektbegleitung, Beratungsgremien",090268622,
E38490,Projektstabskosten,,
E38491,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
E38492,Beratungsgremien (SK),,
E4,Beseitigung kerntechnischer Anlagen; Risikobeteiligung,,
E410,Beseitigung kerntechnischer Anlagen,300468580,
E41000,Beseitigung kerntechnischer Anlagen,,
E41091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
E420,Verfüllung und Sicherung kerntechnischer Endlager,300468580,
,,300468581,
E42000,Verfüllung und Sicherung kerntechnischer Endlager,,
E450,Risikobeteiligung Kernenergie,300468580,
E45000,Risikobeteiligung Kernenergie,,
E5,Kernfusionsforschung,,
E50000,Kernfusionsforschung,,
E560,Grundlagenforschung Energie/Fusionsforschung,300468541,
E56000,Grundlagenforschung Energie/Fusionsforschung,,
F,"Umweltgerechte, nachhaltige Entwicklung",,
F1,Sozial-ökologische Forschung; regionale Nachhaltigkeit,,
F110,Nachhaltige Nutzungskonzepte für Regionen,300468542,
F11010,Urbane Räume,,
F11011,Flächenmanagement,,
F11013,Ökologische Konzeptionen für Städte,,
F11014,"Übergreifende Themen zur Bodenforschung, Stadt- und Industrieböden",,
F11020,Ländliche Räume,,
F11021,Ökologische Konzeptionen für landwirtschaftlich genutzte Böden,,
F11022,Agrarökosystemforschung an repräsentativen Standorten,,
F11023,Sonstiges zur ökologischen Forschung für Agrarlandschaften,,
F11030,Sensible Räume,,
F11034,"Ökologische Konzeptionen für Industrielandschaften, z.B. Bergbaufolgelandschaften",,
F11040,Erfassung und Bewertung von Altlasten,160253202,
F11099,Sonstiges zur ökologischen Forschung für urban-industrielle Landschaften,,
F120,Konzepte für eine nachhaltige Nutzung von natürlichen Ressourcen,300468542,
F12010,Flüsse und Seen,,
F12011,Ökologische Konzeptionen für Fluß- und Seenlandschaften,,
F12012,Institut für Gewässerökologie und Binnenfischerei (IGB) im Forschungsverbund Berlin e.V. - Institutionelle Förderung,,
F12013,Gewässerschutztechnologien,,
F12020,Nachhaltiger Umgang mit der Ressource Wasser,,
F12021,Planungsinstrumente zur nachhaltigen Wasserbewirtschaftung,,
F12022,Entwicklung nachhaltiger Wassertechnologien,,
F12023,Hochwassermanagement,,
F12024,Integriertes Wasserressourcenmanagement,,
F12025,Dezentrale Wasserver- und Abwasserentsorgung,,
F12026,Wertstoffe aus der Wasserbehandlung,,
F12027,Unkonventionelle Wassergewinnung,,
F130,Umweltbezogene Infrastrukturentwicklung,300468542,
F13010,Wasserversorgung,,
F13020,Wasserwiederverwendung,,
F13030,Kommunales Abwasser,,
,,,
F13040,Industrielles Abwasser,,
F13050,Klärschlamm,,
F13060,"Analytik - Sensoren, Meßverfahren und Modelle",,
F13070,"Grundlagen, Prognosen, Planungen der Abfallwirtschaft",,
F13080,Behandlung von Abfällen,,
F13085,Untertägige Ablagerung,,
F13099,Übergreifende und sonstige Vorhaben der Wasser-/Abfallbehandlung,,
F140,Sozial-ökologische Grundlagen und Konzepte,300468542,
F14010,Sozial-ökologische Forschung,,
F14020,Berichtssysteme zur Nachhaltigkeit,,
F14030,Wirtschaftswissenschaften für Nachhaltigkeit,,
F14040,Sonstiges zur sozial-ökologischen Nachhaltigkeitsforschung,,
F150,Querschnittsaufgaben zu Forschung für Nachhaltigkeit,300468542,
F15010,Verbreitungsstrategien,,
F15011,Internationale Massnahmen,,
F15012,Weiterentwicklung für Nachhaltigkeitsstrategien,,
F15013,Rechtliche Rahmenbedingungen,,
F15014,Sicherheitsforschung und -technik,,
F15015,Sonstiges zur Nachhaltigkeit,,
F190,Übrige und Querschnittsaktivitäten,160254401,
,,160254411,
,,160453203,
,,300468542,
F19010,Lärmminderung,,
F19020,Verfahren zur Luftreinhaltung,,
F19030,Messverfahren für Luftschadstoffe,,
F19050,Erkennung und Bekämpfung von Öl-/Chemikalienverschmutzungen im Meer,,
F19090,Projektstabskosten,,
F19091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
F19092,Beratungsgremien (SK),,
F19099,Sonstiges im Rahmen der regionalen Umweltaspekte,,
F2,Wirtschaftsbezogene Nachhaltigkeit; integrierte Umwelttechnik,,
F210,Bedürfnisfelder und zugehörige Wertschöpfungsketten,090268617,
,,300468542,
F21010,Bedürfnisfeld Ernährung,,
F21020,Bedürfnisfeld Kommunikation,,
F21030,Bedürfnisfeld Mobilität,,
F21040,Bedürfnisfeld Freizeit/Wohnen,,
F220,Rohstoffnahe Produktionssysteme,300468542,
F22010,Nachhaltige Wald- und Forstwirtschaft,,
F22011,Forschung für eine zukunftsorientierte Forstwirtschaft,,
F22012,"Waldökosystemforschung Solling, Forschungszentrum Göttingen",,
F22013,"Waldschadensforschung, Aufklärung der Ursachen",,
F22020,Erz- und mineralienbasierte Produktionssysteme,,
F22030,Petro- und carbochemiebasierte Produktionssysteme,,
F22040,Materialeffizienz in rohstoffintensiven Produktionsprozessen,,
F230,Schlüsselinnovationen für den Systemwandel,300468542,
F23010,Technologische Schlüsselinnovationen,,
F23020,Nichttechnologische Schlüsselinnovationen,,
F240,Geschäftsmodelle für eine nachhaltige Marktwirtschaft,300468542,
F24010,Interne und externe Geschäftsprozesse,,
F24020,Produktstrategien,,
F24030,Rahmenbedingungen und marktlicher Kontext,,
F250,Bionik,300468542,
F25010,Bionik-Kompetenz-Netzwerk BIOKON,,
F25020,Bionische Entwicklungen,,
F260,Chemische Prozesse,300468542,
F26010,Technologien für Nachhaltigkeit und Klimaschutz,,
F270,Grundlagen und Rahmenbedingungen für nachhaltiges Wirtschaften,300468542,
F27010,Rahmenbedingungen für Innovationen zum nachhaltigen Wirtschaften,,
F27020,Wirtschaftswissenschaftliche Grundlagen zur Nachhaltigkeit,,
F280,Integrierter Umweltschutz in Branchen,300468542,
F28010,Integrierter Umweltschutz in der Holzwirtschaft und Möbelindustrie,,
F28020,Integrierter Umweltschutz im Bereich Landwirtschaft und Ernährung,,
,,,
F28030,Integrierter Umweltschutz im Bereich Chemie und Kunststoffe,,
F28040,Integrierter Umweltschutz in der Textil- und Lederindustrie,,
F28050,Integrierter Umweltschutz in der metallerzeugenden und metallverarbeitenden Industrie,,
F28060,Integrierter Umweltschutz in der Elektro-/Elektronikindustrie,,
F28070,"Integrierter Umweltschutz im Baugewerbe, in der Glas- und Keramikindustrie",,
F28080,Integrierter Umweltschutz in weiteren Themenfeldern/Branchen,,
F28081,Integrierter Umweltschutz beim Fahrzeugbau,,
F28082,Integrierter Umweltschutz in der Papier- und Zellstoffindustrie,,
F28083,Integrierter Umweltschutz in der Verpackungsindustrie,,
F28084,Integrierter Umweltschutz im Gesundheitsbereich,,
F28085,Integrierter Umweltschutz in weiteren Branchen/Themenfeldern,,
F290,Übrige und Querschnittsaufgaben,160253202,
,,160254401,
,,300468542,
F29031,Übergreifende Themen zur Ökotoxikologie,,
F29032,Umweltbelastungen Gesundheit,,
F29040,Sicherheitsforschung und Sicherheitstechnik,,
F29090,Projektstabskosten,,
F29091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
F29092,Beratungsgremien (SK),,
F29099,"Sonstige Querschnittsaktivitäten zum integrierten Umweltschutz, Umwelttechnik",,
F7,Globaler Wandel (einschl. Forschung für eine Politik der Friedensgestaltung),,
F710,Klima- und Atmosphärenforschung,300468540,
,,300489440,
F71010,Klimamodellierung,,
F71020,Landoberflächenprozesse und Rückwirkungen auf das Klimasystem,,
F71030,Klimavariabilität und Vorhersagbarkeit,,
F71040,Paläoklima (Klima in der Erdgeschichte),,
F71050,Strahlung und Bewölkung,,
F71060,Bio-Chemosphäre,,
F71070,Luftspurenstoffe,,
F71080,Atmosphärische Ausbreitung von Schadstoffen,,
F71085,Ozonforschung,,
F71088,Klimaschutz,,
F71090,Projektstabskosten,,
F71099,Sonstige Aktivitäten im Bereich Klima- und Atmosphärenforschung,,
F730,Biosphärenforschung,300468540,
,,300489440,
F73010,Biodiversitätsforschung,,
F73030,Tropenökologische Forschung,,
F73040,Ökologische Konzeptionen für aride und semi-aride Gebiete,,
F73050,Forschung zu Biotop- und Artenschutz/integrierte Naturschutzforschung,,
F73099,Sonstige Aktivitäten im Bereich Biosphärenforschung,,
F750,Wirkungsforschung für den globalen Wandel,300468540,
,,300489440,
F75010,"Klimawirkungsforschung, Klimaänderung und Küste",,
F75020,Auswirkungen von Luftschadstoffen auf Ökosysteme und Sachgüter,,
F75030,Biologische Wirkungen erhöhter UV-B-Strahlung,,
F75040,"Wasserverfügbarkeit, globaler Wasserkreislauf",,
F75050,Landmanagement,,
F75060,Forschung zur Umweltverträglichkeit,,
F75070,Megacities,,
F75080,Desertifikation,,
F75099,Sonstige Aktivitäten im Bereich Wirkungsforschung für den globalen Wandel,,
F770,Forschung für eine Politik der Friedensgestaltung,300468540,
,,300469840,
,,300489440,
F77010,Deutsche Stiftung Friedensforschung,,
F77099,Sonstige Aktivitäten im Bereich Forschung für eine Politik der Friedensgestaltung,,
F790,Übrige und Querschnittsaktivitäten im Bereich Globale Umweltveränderungen,160254401,
,,300468540,
,,300489440,
F79011,Deutsches Klimarechenzentrum,,
,,,
F79012,Sekretariate für internationale Programme im Bereich Globale Umweltveränderungen,,
F79030,"Symposien, Kongresse, Öffentlichkeitsarbeit",,
F79040,Forschungsflugzeuge etc.,,
F79050,Fernerkundung,,
F79080,Potsdam-Institut für Klimafolgenforschung e.V. (PIK) - institutionelle Förderung,,
F79085,"Institut für Atmosphärenphysik an der Universität Rostock e.V., Kühlungsborn -institutionelle Förderung",,
F79087,"Institut für Troposphärenforschung e.V. (IfT), Leipzig - institutionelle Förderung",,
F79090,Projektstabskosten,,
F79091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
F79092,Beratungsgremien (SK),,
F79099,Sonstige Querschnittsaktivitäten im Bereich Globale Umweltveränderungen,,
G,Gesundheit und Medizin,,
G0,Gesundheit und Medizin,,
G010,Effektive Krankheitsbekämpfung,300468530,
,,300468531,
,,300468597,
G01010,"Lebensweise, Ernährung und Umwelt",,
G01020,Infektionskrankheiten,,
G01030,Nervensystem und Psyche,,
G01040,Herz-Kreislauf-Krankheiten,,
G01060,Sonstige krankheitsbezogene und krankheitsübergreifende Schwerpunkte,,
G020,Forschung zum Gesundheitswesen,300468530,
,,300468531,
,,300468597,
G02010,Gesundheitlich gefährdete Bevölkerungsgruppen,,
G02020,Leistungsfähigkeit und Wirtschaftlichkeit des Gesundheitswesens,,
G02030,Epidemiologie und Public Health,,
G030,Gesundheitsforschung in Zusammenarbeit von Wirtschaft und Wissenschaft,300468530,
,,300468531,
,,300468597,
G03010,Medizintechnik,,
G03020,Leitprojekt Molekulare Medizin,,
G03030,"Leitvision ""Schonendes Operieren mit innovativer Technik""",,
G03040,Medikamentenentwicklung,,
G03050,Entwicklung von Diagnostik- und Therapieverfahren,,
G03060,Strukturelle Maßnahmen zur Zusammenarbeit Wissenschaft/ Wirtschaft,,
G03061,Gesundheitsregionen der Zukunft,,
G040,Stärkung der Forschungslandschaft durch Strukturoptimierungen/-innovationen,300468530,
,,300468531,
,,300468597,
G04010,Interdisziplinäre Zentren für klinische Forschung,,
G04020,Aufbaumaßnahme neue Bundesländer,,
G04030,Weitere Maßnahmen zur Strukturoptimierung,,
G050,"Querschnitts- und Koordinierungsaufgaben, Förderung der internationalen Zusammenarbeit",150154401,
,,300468530,
,,300468531,
,,300468597,
G05090,Projektstabskosten,,
G05091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
G05092,Beratungsgremien (SK),,
G05093,"Programmplanung, internationale Kooperation",,
G05099,Sonstiges im Rahmen von Gesundheit und Medizin,,
G060,Neurowissenschaften,300468530,
,,300468531,
G06010,Neurowissenschaften,,
G06020,Klinische Neurowissenschaften,,
G080,Institutionelle Förderung im Bereich der Gesundheit,,
G08010,Forschungsinstitut für Molekulare Pharmakologie (FMP) im Forschungsverbund Berlin e.V. - institutionelle Förderung,,
G08020,Deutsches Institut für Ernährungsforschung Potsdam (DIFE) - institutionelle Förderung,,
G08060,Deutsches Primatenzentrum,,
,,,
H,Forschung und Entwicklung zur Verbesserung der Arbeitsbedingungen,,
H0,Forschung und Entwicklung zur Verbesserung der Arbeitsbedingungen,,
H010,"Schutz der Gesundheit durch Abbau und Abwehr von Belastungen, insbesondere Arbeitsschutz 2000",300268540,
H01002,Abbau und Abwehr schädlicher und belästigender Arbeitsstoffe,,
H01003,Abbau von Schwingungen und Erschütterungen,,
H01004,Verbesserung der Klimasituation am Arbeitsplatz,,
H01007,Erforschung und Abbau von kombinierten Belastungen,,
H01008,Untersuchung seelischer und nervlicher Belastungen; Streß,,
H01009,Verbesserung von Arbeitssicherheit und Unfallschutz,,
H01010,Abbau der Belastungen durch Lärm,,
H01011,Lärmminderung bei der Blechverarbeitung,,
H01012,Lärmminderung in der Textilindustrie,,
H01020,Abbau und Abwehr von Belastungen beim Schweißen,,
H01021,Abbau und Abwehr von Belastungen in der verpackenden Wirtschaft,,
H01040,Arbeitsbedingungen und Gesundheit der Erwerbstätigen,,
H01041,Krebsrisiken am Arbeitsplatz,,
H01042,Allergische Reaktionen und Erkrankungen,,
H01050,Arbeitsschutz 2000,,
H020,"Menschengerechte Anwendung neuer Technologien, insbesondere bei Dienstleistungen der Zukunft (abgeschlossen)",300268540,
H02010,Menschengerechte Anwendung neuer Technologien im Bereich Büro und Verwaltung,,
H02011,Schutz der Gesundheit an Arbeitsplätzen mit neuen Informations- und Kommunikationstechniken,,
H02020,Menschengerechte Anwendung neuer Technologien in der Produktion,,
H02021,Schutz der Gesundheit beim Einsatz neuer Techniken in der Produktion,,
H02022,Menschengerechte Anwendung neuer Techniken in der Serienmontage,,
H02050,Dienstleistungen der Zukunft,,
H02060,Pilotprojekte für beschäftigungssichernde/-schaffende Innovationen,,
H02099,Menschengerechte Anwendung neuer Technologien in sonstigen Bereichen,,
H030,Umsetzung von wissenschaftlichen Erkenntnissen und Betriebserfahrungen zur menschengerechten Gestaltung der Arbeitsbedingungen (abgeschlossen),300268540,
H03001,Umsetzung durch Informationsmittel und -materialien,,
H03002,Umsetzung durch Beratung,,
H03003,Umsetzung durch Qualifizierung,,
H03004,Entwicklung und Erprobung erweiterter Verfahren der Wirtschaftlichkeitsrechnung,,
H03009,Umsetzungsforschung; Sonstiges,,
H040,Menschengerechte Gestaltung der Arbeitsbedingungen in einzelnen Branchen (abgeschlossen),300268540,
H04001,Menschengerechte Gestaltung der Arbeitsbedingungen im Bergbau,,
H04002,Verbesserung der Arbeitsbedingungen in der Forst- und Landwirtschaft,,
H04003,Menschengerechte Gestaltung der Arbeitsbedingungen in der Gießereiindustrie,,
H04004,Menschengerechte Gestaltung der Arbeitsbedingungen in der Schmiedeindustrie,,
H04009,Verbesserung der Arbeitsbedingungen in der sonstigen Metallbearbeitung,,
H04010,Verbesserung der Arbeitsbedingungen in der Elektroindustrie,,
H04019,Verbesserung der Arbeitsbedingungen im sonstigen metallverarbeitenden Gewerbe,,
H04020,Verbesserung der Arbeitsbedingungen im Tischlerhandwerk und in der Möbelindustrie,,
H04021,Verbesserung der Arbeitsbedingungen in der Textilindustrie,,
H04022,Verbesserung der Arbeitsbedingungen in der Bekleidungsindustrie,,
H04023,Menschengerechte Gestaltung der Arbeitsbedingungen in der Bauwirtschaft,,
H04030,Menschengerechte Anwendung neuer Techniken in der Druckindustrie,,
H04039,Verbesserung der Arbeitsbedingungen in sonstigen Branchen des erzeugenden und verarbeitenden Gewerbes,,
H04040,Verbesserung der Arbeitsbedingungen im Hotel- und Gaststättengewerbe,,
H04041,Verbesserung der Arbeitsbedingungen im Bereich der Sozial- und Gesundheitsdienste,,
H04042,Menschengerechte Gestaltung der Arbeitsbedingungen im Straßengüterverkehr,,
H04049,Verbesserung der Arbeitsbedingungen im Bereich des Personen- und sonstigen Güterverkehrs,,
H04059,Verbesserung der Arbeitsbedingungen in sonstigen Branchen des Dienstleistungsgewerbes,,
H050,Innovative Arbeitsgestaltung,300268540,
H05010,Innovative Gestaltung von Arbeitsorganisation,,
H05020,Beschäftigungsformen,,
,,,
H05030,Arbeitsforschung,,
H05040,Prävention,,
H05050,Demographie,,
H05060,"Arbeiten, Lernen, Kompetenzentwicklung / betriebliche Weiterbildung",,
H05080,Grundlagen und Querschnittsfragen zur innovativen Arbeitsgestaltung,,
H060,Innovative Dienstleistungen,300268540,
H06010,Wissensintensive Dienstleistungen,,
H06020,Gestaltung von Dienstleistungsunternehmen und -arbeit,,
H06030,Wachstumsfelder,,
H06040,Dienstleistungsfacharbeit,,
H06050,Dienstleistungen für das 21. Jahrhundert,,
H06060,Dienstleistungen Demografie und Technik,,
H06080,Grundlagen und Querschnittsfragen zu innovativen Dienstleistungen,,
H080,Grundlagen und Querschnittsfragen zur menschengerechten Gestaltung von Arbeit und Technik (soweit nicht anderen Gliederungspunkten zugeordnet),300268540,
H08001,Arbeitswissenschaft,,
H08002,Arbeitsmedizin,,
H08003,Arbeitssoziologie und Arbeitspsychologie,,
H08004,Untersuchung und Verbesserung der Arbeitsbedingungen besonderer Personengruppen,,
H08050,Demographische Folgen für Erwerbsarbeit der Zukunft,,
H08081,Entwicklung und Erprobung neuer Arbeitsstrukturen in der Produktion,,
H08082,Entwicklung und Erprobung neuer Arbeitsstrukturen im Bereich Büro und Verwaltung,,
H08090,Projektstabskosten,,
H08091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
H08092,Beratungsgremien (SK),,
H08099,Sonstige Querschnittsfragen,,
I,Informationstechnik (einschließlich Multimedia und Fertigungstechnik),,
I1,Informatik,,
I110,Softwaretechnologie,300468321,
I11010,Entwicklung von Softwaremethoden und -werkzeugen,,
I11011,Eingebettete Systeme,,
